POT Value 1,POT Value 2,Gesture,Iteration
44810,30567,flex,4
44986,31127,flex,4
44970,30055,flex,4
44714,30183,flex,4
44106,29031,flex,4
44650,30615,flex,4
44170,30215,flex,4
45099,30471,flex,4
44730,30407,flex,4
44762,30343,flex,4
44458,28887,flex,4
44346,30503,flex,4
44586,30247,flex,4
44186,30503,flex,4
45002,30855,flex,4
44362,30391,flex,4
44650,30023,flex,4
44570,29911,flex,4
45002,31159,flex,4
44746,30071,flex,4
44794,29495,flex,4
44474,30423,flex,4
44426,30231,flex,4
44186,29607,flex,4
44666,30615,flex,4
44714,30151,flex,4
44858,31159,flex,4
45275,28342,flex,4
45083,30759,flex,4
44170,29799,flex,4
44650,30775,flex,4
44330,30535,flex,4
44682,29959,flex,4
45131,30679,flex,4
44442,30007,flex,4
44714,29895,flex,4
44378,30039,flex,4
44394,30471,flex,4
44522,30135,flex,4
44602,30423,flex,4
44442,30663,flex,4
44890,29767,flex,4
44010,29351,flex,4
44618,30535,flex,4
44170,29783,flex,4
44522,31111,flex,4
44634,30343,flex,4
44650,30359,flex,4
44554,29639,flex,4
44618,30279,flex,4
44730,30935,flex,4
43978,29367,flex,4
44442,30903,flex,4
44474,30119,flex,4
44986,29767,flex,4
45034,30423,flex,4
44826,30615,flex,4
44746,29911,flex,4
44138,30551,flex,4
44346,30343,flex,4
44186,30247,flex,4
45002,29831,flex,4
44954,29975,flex,4
44474,29799,flex,4
44186,29991,flex,4
44362,31031,flex,4
44586,30231,flex,4
44954,29415,flex,4
44442,30679,flex,4
44906,30007,flex,4
44202,29143,flex,4
44986,30647,flex,4
44458,29911,flex,4
44650,30647,flex,4
44938,30615,flex,4
44634,30151,flex,4
44810,30039,flex,4
44618,30183,flex,4
44570,30375,flex,4
44122,30167,flex,4
44986,31175,flex,4
44298,30615,flex,4
44378,29959,flex,4
44378,29863,flex,4
44906,30567,flex,4
44650,30023,flex,4
44554,30855,flex,4
44954,30423,flex,4
44890,30135,flex,4
44266,29671,flex,4
44570,30615,flex,4
44618,29927,flex,4
44330,30887,flex,4
44826,30007,flex,4
44650,29911,flex,4
44698,30023,flex,4
44682,30327,flex,4
44378,30503,flex,4
44618,30647,flex,4
45002,30615,flex,4
45099,29639,flex,4
